University,Latitude,Longitude,Logo,Rank,Type,Country,Location,Student,Year,Contact,Email,Website,Strength,Description,Exchange,agricultural_food_science,arts_design,economics_business_management,law_political_science,medicine_pharmacy_health_sciences,science_engineering,social_sciences_humanities,sports_physical_education,technology,others
Sri Ramachandra Institute of Higher Education and Research,13.0315,80.0423,https://www.sriramachandra.edu.in/university/images/nw-images/new-sriher-logo.png,55,private,India,Tamil Nadu,6000,1985,9.14425E+11,info@sriramachandra.edu.in,sriramachandra.edu.in,"Medicine, Health Tech, IT, Biotechnology","A private deemed university in Chennai, specializing in health sciences and medical education.",NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA
Sri Venkateswara University,13.6292,79.4194,https://svuniversity.edu.in/storage/2021/11/SV-logo.png,87,public,India,Andhra Pradesh,5000,1954,9.18772E+11,registrar@svuniversity.ac.in,svuniversity.edu.in,"IT, Economics, Political Science, Law","A public state university in Tirupati, Andhra Pradesh, offering diverse programs and research opportunities.",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
SVKM's Narsee Monjee Institute of Management Studies,19.1075,72.836,https://upload.wikimedia.org/wikipedia/en/e/ec/Narsee_Monjee_Institute_of_Management_Studies_Logo.png,49,private,India,Maharashtra,17000,1981,9.12242E+11,admissions@nmims.edu,nmims.edu,"Business Analytics, Economics, IT, Law","A private deemed university in Mumbai, offering programs in management, engineering, law, and other disciplines.",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Symbiosis International University,18.5522,73.8997,https://upload.wikimedia.org/wikipedia/en/2/2a/Logo_of_Symbiosis_International_University.svg,31,private,India,Maharashtra,23000,1971,9.12062E+11,admissions@symbiosis.ac.in,siu.edu.in,"Business Analytics, Law, Economics, IT","Established as an international cultural and educational center, it offers diverse programs across multiple campuses.",NA,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,NA
Tamil Nadu Agricultural University,11.0049,76.9617,https://upload.wikimedia.org/wikipedia/en/9/94/Tamil_Nadu_Agricultural_University_Logo.gif,84,public,India,Tamil Nadu,7000,1971,9.14227E+11,registrar@tnau.ac.in,tnau.ac.in,"Agriculture, IT, Biotechnology, Food Science","A state agricultural university in Coimbatore, Tamil Nadu, offering programs in agriculture and related fields.",NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA
Tata Institute of Social Sciences,19.0442,72.834,https://upload.wikimedia.org/wikipedia/en/b/bf/Tata_Institute_of_Social_Sciences_Logo.svg,58,public,India,Maharashtra,4000,1936,9.12226E+11,dean.admissions@tiss.edu,tiss.edu,"Social Work, Economics, IT, Political Science","Asia's oldest institute for professional social work education, located in Mumbai.",NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA
Tezpur University,26.7091,92.8318,https://upload.wikimedia.org/wikipedia/as/c/c8/Tezpur_University_logo.png,69,public,India,Assam,5000,1994,9.13712E+11,registrar@tezu.ernet.in,tezu.ac.in,"IT, Social Sciences, Law, Political Science","A central university in Assam, offering interdisciplinary courses with a focus on regional development.",NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
Thapar Institute of Engineering and Technology,30.374,76.365,https://scontent.fdad1-4.fna.fbcdn.net/v/t39.30808-6/464923851_8336031936495065_8618513628620415409_n.png?_nc_cat=100&ccb=1-7&_nc_sid=127cfc&_nc_ohc=5pHo116XjU8Q7kNvwHe54wS&_nc_oc=Adk5ElpbfRf68-zsUEHKyM6_vHr1hZ41lrSRU-5MTHVftVbfQQLs_AX2cRY4G1k9byc&_nc_zt=23&_nc_ht=scontent.fdad1-4.fna&_nc_gid=CL-KbmNGkBsrZymwIeuRbg&oh=00_AfJZw5Cliv7bLtPIDoTkgNjxcCe485oMAZwhypblpoJSXA&oe=68321AE2,29,private,India,Punjab,11000,1956,9.11752E+11,admissions@thapar.edu,thapar.edu,"IT, Cybersecurity, Robotics, Business Analytics","Located in Patiala, it is known for its engineering and technology programs.",NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
University of Agricultural Sciences,15.4593,74.9851,https://www.uasbangalore.edu.in/wp-content/uploads/2022/05/uas-logo1.png,90,public,India,Karnataka,18000,1964,9.18023E+11,registrar@uasbangalore.edu.in,uasbangalore.edu.in,"Agriculture, IT, Biotechnology, Food Science","A public university in Karnataka, specializing in agricultural sciences and research.",NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA
University of Delhi,28.69,77.21,https://upload.wikimedia.org/wikipedia/commons/6/62/Delhi_University%27s_official_logo.png,6,public,India,Delhi,627000,1922,9.11128E+11,registrar@du.ac.in,du.ac.in,"Economics, Law, Political Science, Medicine, Humanities","A central university in Delhi, renowned for its diverse academic offerings and vibrant campus life.",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
University of Hyderabad,17.4597,78.3333,http://upload.wikimedia.org/wikipedia/en/9/9e/University_of_Hyderabad_Logo.png,17,public,India,Telangana,6000,1974,9.14023E+11,registrar@uohyd.ac.in,uohyd.ac.in,"IT, Biotechnology, Economics, Political Science","A central university in Hyderabad, offering postgraduate and research programs with a strong emphasis on interdisciplinary studies.",NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
University of Jammu,32.732,74.858,https://upload.wikimedia.org/wikipedia/en/3/3b/University_of_Jammu_logo.png,50,public,India,Jammu and Kashmir,4000,1969,9.11912E+11,helpdesk@jammuuniversity.ac.in,jammuuniversity.ac.in,"Social Sciences, Law, Political Science, IT","Established after the bifurcation of the University of Jammu and Kashmir, it offers a wide range of programs.",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
University of Kashmir,34.083,74.797,https://upload.wikimedia.org/wikipedia/en/6/6f/University_of_Kashmir_logo.png,45,public,India,Jammu and Kashmir,9000,1948,9.11942E+11,registrar@kashmiruniversity.ac.in,kashmiruniversity.ac.in,"Social Sciences, Law, Political Science, IT","Located in Srinagar, Jammu & Kashmir, it offers a variety of programs and is known for its picturesque campus.",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
University of Lucknow,26.8467,80.9462,https://upload.wikimedia.org/wikipedia/en/f/f9/Logolkouniv.jpg,97,public,India,Uttar Pradesh,16000,1921,9.15223E+11,registrar@lkouniv.ac.in,lkouniv.ac.in,"Economics, Political Science, IT, Law 8","A public university in Lucknow, Uttar Pradesh, offering a wide range of undergraduate and postgraduate programs.",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
University of Madras,13.0674,80.2832,https://upload.wikimedia.org/wikipedia/en/2/2e/Madras_University_Seal.svg,39,public,India,Tamil Nadu,54000,1857,9.14425E+11,registrar@unom.ac.in,unom.ac.in,"Economics, Political Science, IT, Law","One of India's oldest universities, located in Chennai, offering extensive programs across various disciplines.",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
UPES,30.3787,77.9937,https://research.upes.ac.in/wp-content/uploads/2022/06/Logo-Icon.jpg,46,private,India,Uttarakhand,14000,2003,9.11353E+11,admissions@upes.ac.in,upes.ac.in,"Energy Studies, IT, Cybersecurity, Business Analytics","Based in Dehradun, Uttarakhand, UPES specializes in energy, petroleum, and core sector education.",NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,13.0832,80.1795,https://www.veltech.edu.in/wp-content/uploads/2022/05/Logo-337x109.png,96,private,India,Tamil Nadu,9000,2008,9.14427E+11,info@veltech.edu.in,veltech.edu.in,"IT, Robotics, Space Tech, Business Analytics","A deemed university in Chennai, Tamil Nadu, offering engineering and technology programs.",NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
Vellore Institute of Technology,12.9722,79.157,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Vellore_Institute_of_Technology_seal_2017.svg/1200px-Vellore_Institute_of_Technology_seal_2017.svg.png,10,private,India,Tamil Nadu,42000,1984,9.14162E+11,ugadmission@vit.ac.in,vit.ac.in,"IT, Cybersecurity, Health Tech, Robotics","A private university in Vellore, offering a wide range of programs with a focus on engineering and technology.",NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
"Vignan's Foundation for Science, Technology and Research",16.427,80.5729,https://www.topuniversities.com/sites/default/files/profiles/logos/220204072652am269277VFSTR-Logo-200x200.jpg,72,private,India,Andhra Pradesh,10000,1997,9.18663E+11,admissions@vignan.ac.in,vignan.ac.in,"IT, Engineering, Business Analytics, Health Tech","A deemed university in Andhra Pradesh, known for engineering and management programs.",NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
Visvesvaraya Technological University,15.39,74.681,https://upload.wikimedia.org/wikipedia/eNA/a0/Visvesvaraya_Technological_University_logo.png,75,public,India,Karnataka,86000,1998,9.18362E+11,registrar@vtu.ac.in,vtu.ac.in,"IT, Robotics, Cybersecurity, Business Analytics","A public technical university in Karnataka, overseeing engineering education in the state.",NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
Yenepoya University,12.8637,74.8988,https://upload.wikimedia.org/wikipedia/en/7/7a/Yenepoya_University_logo.png,95,private,India,Karnataka,15000,2008,9.18242E+11,registrar@yenepoya.edu.in,yenepoya.edu.in,"Medicine, Health Tech, IT, Nursing","A deemed university in Mangaluru, Karnataka, offering programs in medical, dental, and allied health sciences.",NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA
Aichi Prefectural University,35.1833,137.0833,https://cdn.adscientificindex.com/logos/159.png,87,public,Japan,Aichi,4000,1950,81561641111,koho@bur.aichi-pu.ac.jp,https://www.aichi-pu.ac.jp/,"nursing, foreign languages",Aichi Prefectural University was founded in 1950 and they are popular for nursing and foreign languages.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Akita International University,39.7036,140.0947,https://cdn.adscientificindex.com/logos/211.jpg,10,public,Japan,Akita,1000,2004,81188865900,info@aiu.ac.jp,https://www.aiu.ac.jp/,"international relations, liberal arts",Akita International University was founded in 2004 and they are popular for international relations and liberal arts.,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Aoyama Gakuin University,35.6669,139.7081,https://cdn.adscientificindex.com/logos/513.jpg,49,private,Japan,Tokyo,32000,1874,81334098111,kouhou@aoyama.ac.jp,https://www.aoyama.ac.jp/,"business, international relations",Aoyama Gakuin University was founded in 1874 and they are popular for business and international relations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Chiba University,35.6274,140.103,https://cdn.adscientificindex.com/logos/1504.jpg,16,public,Japan,Chiba,14000,1949,81432902192,pso@chiba-u.jp,https://www.chiba-u.ac.jp/,"medicine, engineering, horticulture","Chiba University was founded in 1949 and they are popular for medicine, engineering and horticulture.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Chuo University,35.6236,139.4089,https://cdn.adscientificindex.com/logos/1597.jpg,62,private,Japan,Tokyo,7000,1885,81338171711,koho@tamajs.chuo-u.ac.jp,https://www.chuo-u.ac.jp/,"law, economics",Chuo University was founded in 1885 and they are popular for law and economics.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Doshisha University,35.0297,135.7628,https://cdn.adscientificindex.com/logos/2029.jpg,42,private,Japan,Kyoto,20000,1920,81752513120,ji-koho@mail.doshisha.ac.jp,https://www.doshisha.ac.jp/,"law, business, theology","Doshisha University was founded in 1920 and they are popular for law, business and theology.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Ehime University,33.9333,132.7833,https://cdn.adscientificindex.com/logos/2282.jpg,85,public,Japan,Ehime,10000,1949,81899279000,kouhou@stu.ehime-u.ac.jp,https://www.ehime-u.ac.jp/,"medicine, agriculture",Ehime University was founded in 1949 and they are popular for medicine and agriculture.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Fukuoka Women's University,33.5831,130.4442,https://cdn.adscientificindex.com/logos/2725.png,48,public,Japan,Fukuoka,2000,1923,81926612411,koho@fwu.ac.jp,http://www.fwu.ac.jp/,humanities,Fukuoka Women's University was founded in 1923 and they are popular for humanities.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA
Gakushuin University,35.7183,139.71,https://cdn.adscientificindex.com/logos/2785.jpg,70,private,Japan,Tokyo,10000,1877,81339860221,kouhou@gakushuin.ac.jp,https://www.univ.gakushuin.ac.jp/,"humanities, political science",Gakushuin University was founded in 1877 and they are popular for humanities and political science.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Gifu University,35.4364,136.7581,https://cdn.adscientificindex.com/logos/2875.jpg,72,public,Japan,Gifu,8000,1949,81582301111,kikaku@gifu-u.ac.jp,https://www.gifu-u.ac.jp/,"medicine, agriculture",Gifu University was founded in 1949 and they are popular for medicine and agriculture.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Gunma University,36.3928,139.0636,https://cdn.adscientificindex.com/logos/3091.jpg,55,public,Japan,Gunma,7000,1949,81272207111,koho@jimu.gunma-u.ac.jp,https://www.gunma-u.ac.jp/,"medicine, engineering",Gunma University was founded in 1949 and they are popular for medicine and engineering.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Hamamatsu University School of Medicine,34.7333,137.7167,https://cdn.adscientificindex.com/logos/3143.png,91,public,Japan,Shizuoka,9000,1974,81534352111,somu@hama-med.ac.jp,https://www.hama-med.ac.jp/,"medicine, medical technology",Hamamatsu University School of Medicine was founded in 1974 and they are popular for medicine and medical technology.,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA
Hirosaki University,40.6,140.4667,https://cdn.adscientificindex.com/logos/3343.jpg,95,public,Japan,Aomori,7000,1949,81172362111,koho@hirosaki-u.ac.jp,https://www.hirosaki-u.ac.jp/,"medicine, agriculture",Hirosaki University was founded in 1949 and they are popular for medicine and agriculture.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Hiroshima University,34.4,132.7167,https://cdn.adscientificindex.com/logos/3350.jpg,13,public,Japan,Hiroshima,16000,1929,81824246170,kokusai-ryugaku@office.hiroshima-u.ac.jp,https://www.hiroshima-u.ac.jp/,"engineering, education, medicine","Hiroshima University was founded in 1929 and they are popular for engineering, education and medicine.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Hitotsubashi University,35.6911,139.4461,https://cdn.adscientificindex.com/logos/3354.jpg,17,public,Japan,Tokyo,5000,1875,81425808000,koho@r.hit-u.ac.jp,https://www.hit-u.ac.jp/,"economics, business, sociology","Hitotsubashi University was founded in 1875 and they are popular for economics, business and sociology.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Hokkaido University,43.0758,141.3405,https://cdn.adscientificindex.com/logos/3469.jpg,8,public,Japan,Hokkaido,18000,1918,81117162111,jimu-soumu@general.hokudai.ac.jp,https://www.hokudai.ac.jp/,"agriculture, environmental science, medicine","Hokkaido University was founded in 1918 and they are popular for agriculture, environmental science and medicine.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Hosei University,35.6914,139.7361,https://cdn.adscientificindex.com/logos/3500.jpg,53,private,Japan,Tokyo,31000,1880,81332649240,koho@hosei.ac.jp,https://www.hosei.ac.jp/,"law, engineering",Hosei University was founded in 1880 and they are popular for law and engineering.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Ibaraki University,36.3667,140.4667,https://cdn.adscientificindex.com/logos/3585.png,93,public,Japan,Ibaraki,8000,1949,81292288064,koho@mx.ibaraki.ac.jp,https://www.ibaraki.ac.jp/,"engineering, agriculture",Ibaraki University was founded in 1949 and they are popular for engineering and agriculture.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Institute of Science Tokyo,35.605,139.684,https://cdn.adscientificindex.com/logos/8943.png,2,public,Japan,Tokyo,11000,1881,81357342975,info@jim.titech.ac.jp,https://www.titech.ac.jp/,"physics, chemistry, engineering","Institute of Science Tokyo was founded in 1881 and they are popular for physics, chemistry and engineering.",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA
International Christian University,35.6858,139.5383,https://cdn.adscientificindex.com/logos/4189.jpg,11,private,Japan,Tokyo,10000,1949,81422333131,info@icu.ac.jp,https://www.icu.ac.jp/,"liberal arts, psychology, international relations","International Christian University was founded in 1949 and they are popular for liberal arts, psychology and international relations.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Iwate University,39.7,141.15,https://cdn.adscientificindex.com/logos/4469.jpg,89,public,Japan,Iwate,7000,1949,81196216066,kouhou@iwate-u.ac.jp,https://www.iwate-u.ac.jp/,"agriculture, engineering",Iwate University was founded in 1949 and they are popular for agriculture and engineering.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Juntendo University,35.7,139.7458,https://cdn.adscientificindex.com/logos/4662.png,59,private,Japan,Tokyo,6000,1836,81358021021,kyomu@juntendo.ac.jp,https://www.juntendo.ac.jp/,"medicine, sports science",Juntendo University was founded in 1836 and they are popular for medicine and sports science.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Kagawa University,34.3361,134.0467,https://cdn.adscientificindex.com/logos/4700.png,77,public,Japan,Kagawa,7000,1949,81878321000,koho@kagawa-u.ac.jp,https://www.kagawa-u.ac.jp/,"medicine, agriculture",Kagawa University was founded in 1949 and they are popular for medicine and agriculture.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Kagoshima University,31.5597,130.4242,https://cdn.adscientificindex.com/logos/4702.jpg,54,public,Japan,Kagoshima,11000,1949,81992857111,kouhou@kuas.kagoshima-u.ac.jp,https://www.kagoshima-u.ac.jp/,"medicine, agriculture",Kagoshima University was founded in 1949 and they are popular for medicine and agriculture.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Kanazawa University,36.5481,136.6619,https://cdn.adscientificindex.com/logos/4730.jpg,19,public,Japan,Ishikawa,11000,1949,81762645111,kouhou@adm.kanazawa-u.ac.jp,https://www.kanazawa-u.ac.jp/,"medicine, pharmacy, humanities","Kanazawa University was founded in 1949 and they are popular for medicine, pharmacy and humanities.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Kanda University of International Studies,35.6489,140.125,https://cdn.adscientificindex.com/logos/13155.png,35,private,Japan,Chiba,4000,1987,81473391111,kouhou@kanda.kuis.ac.jp,https://www.kandagaigo.ac.jp/,"linguistics, international studies",Kanda University of International Studies was founded in 1987 and they are popular for linguistics and international studies.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA
Kansai Gaidai University,34.8167,135.65,https://cdn.adscientificindex.com/logos/4737.jpg,65,private,Japan,Osaka,12000,1945,81756111101,kouhou@kansaigaidai.ac.jp,https://www.kansaigaidai.ac.jp/,"foreign languages, international studies",Kansai Gaidai University was founded in 1945 and they are popular for foreign languages and international studies.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Kansai University,34.7728,135.5167,https://cdn.adscientificindex.com/logos/4739.jpg,52,private,Japan,Osaka,22000,1922,81663681121,kouhou@kansai-u.ac.jp,https://www.kansai-u.ac.jp/,"law, business",Kansai University was founded in 1922 and they are popular for law and business.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Keio University,35.6479,139.7419,https://cdn.adscientificindex.com/logos/4829.jpg,12,private,Japan,Tokyo,34000,1858,81354271540,info@adst.keio.ac.jp,https://www.keio.ac.jp/ja/,"business, economics, medicine, law","Keio University was founded in 1858 and they are popular for business, economics, medicine and law.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Kindai University,34.6636,135.6003,https://cdn.adscientificindex.com/logos/28211.png,65,private,Japan,Osaka,36000,1943,81643073007,kokusai@kindai.ac.jp,https://www.kindai.ac.jp/,"medicine, agriculture",Kindai University was founded in 1943 and they are popular for medicine and agriculture.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Kobe City University of Foreign Studies,34.7414,135.1239,https://cdn.adscientificindex.com/logos/4963.png,69,public,Japan,Hyogo,2000,1949,81787948136,koho@office.kobe-cufs.ac.jp,https://www.kobe-cufs.ac.jp/,"foreign languages, international studies",Kobe City University of Foreign Studies was founded in 1949 and they are popular for foreign languages and international studies.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA
Kobe University,34.7261,135.2361,https://cdn.adscientificindex.com/logos/4970.jpg,15,public,Japan,Hyogo,16000,1902,81788811212,kouhou@office.kobe-u.ac.jp,https://www.kobe-u.ac.jp/ja/,"economics, business, medicine","Kobe University was founded in 1902 and they are popular for economics, business and medicine.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Kochi University,33.6,133.6167,https://cdn.adscientificindex.com/logos/4976.jpg,100,public,Japan,Kochi,3000,1949,81888448111,kouhou@kochi-u.ac.jp,https://www.kochi-u.ac.jp/,"medicine, agriculture",Kochi University was founded in 1949 and they are popular for medicine and agriculture.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Kochi University of Technology,33.5833,133.6833,https://cdn.adscientificindex.com/logos/4977.png,79,public,Japan,Kochi,10000,1997,81887531130,kouhou@ml.kochi-tech.ac.jp,https://www.kochi-tech.ac.jp/,"engineering, information technology",Kochi University of Technology was founded in 1997 and they are popular for engineering and information technology.,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
Kumamoto University,32.8031,130.7161,https://cdn.adscientificindex.com/logos/5048.jpg,23,public,Japan,Kumamoto,10000,1949,81963442111,sos-kikaku@jimu.kumamoto-u.ac.jp,https://www.kumamoto-u.ac.jp/,"medicine, pharmacy, engineering","Kumamoto University was founded in 1949 and they are popular for medicine, pharmacy and engineering.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Kwansei Gakuin University,34.7411,135.3481,https://cdn.adscientificindex.com/logos/5078.jpg,45,private,Japan,Hyogo,26000,1912,81795657600,kouhou@kwansei.ac.jp,https://www.kwansei.ac.jp/,"business, literature",Kwansei Gakuin University was founded in 1912 and they are popular for business and literature.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Kyoto Institute of Technology,35.0283,135.7819,https://cdn.adscientificindex.com/logos/5101.jpg,31,public,Japan,Kyoto,4000,1949,81757247000,kouhou@kit.ac.jp,https://www.kit.ac.jp/,"engineering, design",Kyoto Institute of Technology was founded in 1949 and they are popular for engineering and design.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
Kyoto University,35.0264,135.7811,https://cdn.adscientificindex.com/logos/5108.jpg,4,public,Japan,Kyoto,23000,1897,81757537531,webmaster@www.kyoto-u.ac.jp,https://www.kyoto-u.ac.jp/,"engineering, medicine, physics, chemistry, law","Kyoto University was founded in 1897 and they are popular for engineering, medicine, physics, chemistry and law.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Kyoto University of Foreign Studies,34.9667,135.7667,https://cdn.adscientificindex.com/logos/24126.png,96,private,Japan,Kyoto,5000,1959,81753226035,global@kufs.ac.jp,https://www.kufs.ac.jp/,"foreign languages, international studies",Kyoto University of Foreign Studies was founded in 1959 and they are popular for foreign languages and international studies.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA
Kyushu Institute of Technology,33.8833,130.8333,https://cdn.adscientificindex.com/logos/5126.jpg,37,public,Japan,Fukuoka,9000,1907,81938843000,kouhou@jimu.kyutech.ac.jp,https://www.kyutech.ac.jp/,"engineering, materials science",Kyushu Institute of Technology was founded in 1907 and they are popular for engineering and materials science.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA
Kyushu University,33.5958,130.2181,https://cdn.adscientificindex.com/logos/5130.jpg,5,public,Japan,Fukuoka,19000,1911,81926422111,soumu@jimu.kyushu-u.ac.jp,https://www.kyushu-u.ac.jp/ja/,"medicine, engineering, agriculture","Kyushu University was founded in 1911 and they are popular for medicine, engineering and agriculture.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Meiji University,35.6997,139.7061,https://cdn.adscientificindex.com/logos/5647.jpg,47,private,Japan,Tokyo,35000,1881,81332964545,koho@mics.meiji.ac.jp,https://www.meiji.ac.jp/cip/,"law, business, agriculture","Meiji University was founded in 1881 and they are popular for law, business and agriculture.",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
Mie University,34.7333,136.5167,https://cdn.adscientificindex.com/logos/5731.jpg,83,public,Japan,Mie,6000,1949,81592319000,koho@ab.mie-u.ac.jp,https://www.mie-u.ac.jp/,"medicine, engineering",Mie University was founded in 1949 and they are popular for medicine and engineering.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Musashi University,35.7186,139.705,https://cdn.adscientificindex.com/logos/13291.png,81,private,Japan,Tokyo,4000,1949,81359843711,koho@sec.musashi.ac.jp,https://www.musashi.ac.jp/,"economics, humanities",Musashi University was founded in 1949 and they are popular for economics and humanities.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Nagaoka University of Technology,37.4431,138.8397,https://cdn.adscientificindex.com/logos/5983.jpg,29,public,Japan,Niigata,3000,1976,81258470001,kouhou@jcom.nagaokaut.ac.jp,https://www.nagaokaut.ac.jp/,"engineering, technology",Nagaoka University of Technology was founded in 1976 and they are popular for engineering and technology.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA
