University,Abbreviation,Latitude,Longitude,Logo,Rank,Type,Country,Location,StudentPopulation,Year,Contact,Email,Website,Strength,Description,Exchange,agricultural_veterinary_sciences,arts_design,business_management_law,education_Training,engineering_technology,health_medicine,humanities_languages,ict,natural_sciences,social_behavioral_sciences,services,transport_safety_security_military
"Jain University, Bangalore",JU,12.9147,77.5947,https://upload.wikimedia.org/wikipedia/commons/9/98/Jain-University-Bangalore-India-Logo.png,65,private,India,Karnataka,21000,1990,9.18043E+11,admissions@Jainuniversity.ac.in,Jainuniversity.ac.in,"IT, Data Science, Business Analytics, Health Tech","Jain University, Bangalore was founded in 1990 and they are popular for IT, data science, business analytics and health tech.",NA,NA,"Fashion Design, Interior Design, Product Design, Fine Art","Corporate Communication, Digital Marketing, Finance, Human Resource Management, International Business, Marketing, Retail Management, Supply Chain Management",NA,"Aerospace Engineering, Biotechnology, Chemical Engineering,Civil Engineering, Electrical and Electronics Engineering,Electronics and Communication Engineering, Information Science and Engineering, Mechanical Engineering, Telecommunication Engineering",NA,"English, History, Journalism and Mass Communication","Computer Science and Engineering, Data Science and Engineering","Biotechnology, Chemistry, Mathematics, Physics, Zoology",Sociology,NA,NA
Jamia Hamdard,-,28.709,77.191,https://upload.wikimedia.org/wikipedia/en/4/4d/Jamia_Hamdard_Logo.svg,41,private,India,Delhi,5000,1963,9.11126E+11,registrar@jamiahamdard.ac.in,jamiahamdard.edu,"Pharmacy, Medicine, Health Tech, IT","Jamia Hamdard was founded in 1963 and they are popular for pharmacy, medicine, health tech and it.",NA,NA,Fine Art,"Business Administration, Commerce, Law, Management Studies, Financial Management",Education,"Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Electronics and Communication Engineering, Mechanical Engineering","Ayurveda, Pharmacy, Biotechnology, Dentistry, Homeopathy, Medicine, Nursing, Physiotherapy, Unani","Arabic, English, Hindi, History, Islamic Studies, Persian, Urdu","Computer Science, Information Technology","Biochemistry, Botany, Chemistry, Microbiology, Zoology","Psychology, Sociology",NA,NA
Jamia Millia Islamia,JMI,28.5614,77.2805,https://upload.wikimedia.org/wikipedia/en/thumb/d/df/Jamia_Millia_Islamia_Logo.svg/375px-Jamia_Millia_Islamia_Logo.svg.png,3,public,India,Delhi,10000,1920,9.11127E+11,registrar@jmi.ac.in,jmi.ac.in,"Law, Political Science, Engineering, Islamic Studies","Jamia Millia Islamia was founded in 1920 and they are popular for law, political science, engineering and islamic studies.",NA,NA,"Fine Art, Applied Art","Commerce, Business Economics, Business Administration, Management Studies, Law","Education, Teacher Training","Civil Engineering, Mechanical Engineering, Electrical Engineering, Electronics and Communication Engineering, Computer Engineering, Information Technology","Medicine, Dentistry, Nursing, Physiotherapy, Pharmacy","Arabic, Urdu, Persian, Hindi, English, History, Geography, Philosophy, Journalism and Mass Communication","Computer Science, Information Technology","Physics, Chemistry, Mathematics, Botany, Zoology","Sociology, Psychology, Economics, Political Science",NA,NA
Jawaharlal Nehru University,JNU,28.5432,77.167,https://upload.wikimedia.org/wikipedia/commons/f/fb/Jawaharlal_Nehru_University_Logo_vectorized.svg,2,public,India,Delhi,9000,1969,9.11127E+11,registrar@mail.jnu.ac.in,jnu.ac.in,"Social Sciences, Economics, International Relations, Political Science","Jawaharlal Nehru University was founded in 1969 and they are popular for social sciences, economics, international relations and political science.",NA,NA,"Visual Art, Performing Art",Management Studies,NA,NA,NA,"Hindi, English, Sanskrit, Urdu, French, German, Russian, Spanish, Arabic, Persian, Chinese, Japanese, Korean, History, Philosophy, Political Science, Economics, Sociology, Anthropology",NA,"Physics, Chemistry, Mathematics, Biotechnology, Life Science","Psychology, Social Work, International Relations",NA,NA
JSS Academy of Higher Education and Research,JSSAHER,12.3108,76.639,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/sdimages/jssnewlogo.jpg,24,private,India,Karnataka,6000,2008,9.18213E+11,registrar@jssuni.edu.in,jssuni.edu.in,"Medicine, Pharmacy, Health Tech, Biotechnology","JSS Academy of Higher Education and Research was founded in 2008 and they are popular for medicine, pharmacy, health tech and biotechnology.",NA,NA,NA,"Hospital Administration, Management Studies, Regulatory Affairs",NA,NA,"Pharmacy, Medical Laboratory Technology, Clinical Embryology, Physiotherapy, Medical Science, Nursing, Allied Health Science, Paramedical Technology",Psychology,NA,"Biochemistry, Biotechnology, Microbiology, Environmental Science, Food and Nutritional Science, Clinical Psychology, Life Science, Nutrition and Dietetics",NA,NA,NA
Kalasalingam Academy of Research and Education,KARE,9.52,77.808,https://upload.wikimedia.org/wikipedia/en/5/53/Kalasalingam_Academy_of_Research_and_Education_logo.png,30,private,India,Tamil Nadu,5000,1984,9.14562E+11,info@kalasalingam.ac.in,kalasalingam.ac.in,"IT, Medicine, Engineering, Law","Kalasalingam Academy of Research and Education was founded in 1984 and they are popular for IT, medicine, engineering and law.",NA,NA,NA,Business Administration,NA,"Computer Science and Engineering, Electronics and Communication Engineering, Electrical and Electronics Engineering, Mechanical Engineering, Civil Engineering, Information Technology, Aeronautical Engineering, Biotechnology, Biomedical Engineering, Chemical Engineering, Instrumentation and Control Engineering, Mechatronics Engineering, Robotics and Automation Engineering, Artificial Intelligence and Machine Learning",NA,NA,NA,NA,NA,NA,NA
Kalinga Institute of Industrial Technology,KIIT,20.3531,85.8175,https://upload.wikimedia.org/wikipedia/en/e/ef/KIIT_logo.svg,15,private,India,Odisha,40000,1992,9.16743E+11,registrar@kiit.ac.in,kiit.ac.in,"Engineering, Medicine, Law, Management","Kalinga Institute of Industrial Technology was founded in 1992 and they are popular for engineering, medicine, law and management.",NA,NA,NA,Business Administration,NA,"Computer Science and Engineering, Electronics and Communication Engineering, Electrical Engineering, Mechanical Engineering, Civil Engineering, Chemical Engineering, Instrumentation and Control Engineering, Production Engineering, Mining Engineering, Metallurgical and Materials Engineering, Biotechnology, Biomedical Engineering",NA,NA,NA,NA,NA,NA,NA
Kerala University,KU,8.5037,76.952,https://upload.wikimedia.org/wikipedia/commons/d/da/Kerala_University_Emblem.png,21,public,India,Kerala,84000,1937,9188526671,helpdesk@keralauniversity.ac.in,keralauniversity.ac.in,"Ayurveda, Marine Biology, Social Sciences, Law","Kerala University was founded in 1937 and they are popular for ayurveda, marine biology, social sciences and law.",NA,NA,"Fine Art, Performing Art","Commerce, Management Studies, Law",Education,Engineering,"Medicine, Nursing","History, Economics, Philosophy, Political Science, Sociology, Anthropology, Psychology, Geography, Malayalam, English, Hindi, Sanskrit, Arabic, Urdu, French, German, Journalism","Computer Science, Information Technology","Mathematics, Physics, Chemistry, Botany, Zoology, Biotechnology",Social Work,NA,NA
King George's Medical University,KGMU,26.8606,80.9353,https://upload.wikimedia.org/wikipedia/en/9/93/King_George%27s_Medical_University_Logo.png,53,public,India,Uttar Pradesh,2000,1905,9.15222E+11,registrar@kgmu.edu.in,kgmu.org,"Medicine, Health Tech, Nursing, Dentistry","King George's Medical University was founded in 1905 and they are popular for medicine, health tech, nursing and dentistry.",NA,NA,NA,NA,NA,NA,"Medical Laboratory Technology, Physiotherapy, Pharmacy, Occupational Therapy",NA,NA,NA,NA,NA,NA
Koneru Lakshmaiah Education Foundation University,KLEF,16.2374,80.6464,https://upload.wikimedia.org/wikipedia/en/7/78/KL_University_logo.svg,22,private,India,Andhra Pradesh,17000,1980,9.18663E+11,info@kluniversity.in,klh.edu.in,"IT, Data Science, Engineering, Business Analytics","Koneru Lakshmaiah Education Foundation University was founded in 1980 and they are popular for IT, data science, engineering and business analytics.",NA,NA,"Fine Art, Design","Commerce, Business Administration",NA,"Computer Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical and Electronics Engineering, Information Technology, Aeronautical Engineering, Biotechnology, Chemical Engineering, Artificial Intelligence and Machine Learning, Data Science, Cybersecurity, Robotics and Automation, Mechatronics Engineering",NA,NA,NA,NA,"Psychology, Sociology",NA,NA
Lovely Professional University,LPU,31.2552,75.7051,https://upload.wikimedia.org/wikipedia/en/3/3a/Lovely_Professional_University_logo.png,27,private,India,Punjab,35000,2006,9.11825E+11,admissions@lpu.in,lpu.in,"IT, Robotics, Business Analytics, Health Tech","Lovely Professional University was founded in 2006 and they are popular for IT, robotics, business analytics and health tech.",NA,"Agricultural Engineering, Agricultural Science, Veterinary Science","Fine Art, Design","Business Administration, Management Studies, Commerce, Law, Finance, Marketing, Human Resource Management, International Business","Education, Teacher Training","Computer Science and Engineering, Electronics and Communication Engineering, Electrical Engineering, Mechanical Engineering, Civil Engineering, Chemical Engineering, Aerospace Engineering, Mechatronics Engineering, Robotics Engineering, Automobile Engineering, Mining Engineering, Petroleum Engineering, Biotechnology, Food Technology","Nursing, Pharmacy, Physiotherapy, Medical Laboratory Technology, Occupational Therapy","English, Hindi, History, Philosophy, Political Science, Sociology, Journalism and Mass Communication","Computer Science, Information Technology, Software Engineering, Data Science, Cybersecurity","Physics, Chemistry, Mathematics, Biology, Biochemistry, Botany, Zoology","Psychology, Sociology, Social Work","Hotel Management, Tourism Management",NA
Madan Mohan Malaviya University of Technology,MMMUT,26.7578,83.4045,https://www.mmmut.ac.in/images/logo3.jpg,94,public,India,Uttar Pradesh,4000,2013,9.15523E+11,registrar@mmmut.ac.in,mmmut.ac.in,"IT, Robotics, Cybersecurity, Business Analytics","Madan Mohan Malaviya University of Technology was founded in 2013 and they are popular for IT, robotics, cybersecurity and business analytics.",NA,NA,NA,"Business Administration, Management Studies, Regulatory Affairs",NA,"Chemical Engineering, Civil Engineering, Computer Science and Engineering, Electrical Engineering, Electronics and Communication Engineering, Information Technology, Mechanical Engineering, Electronics and Communication Engineering","Pharmacy, Medical Laboratory Technology, Clinical Embryology, Physiotherapy, Medical Science, Nursing, Allied Health Science, Paramedical Technology",Psychology,NA,"Biochemistry, Biotechnology, Microbiology, Environmental Science, Food and Nutritional Science, Clinical Psychology, Life Science, Nutrition and Dietetics",Social Work,NA,NA
Madurai Kamaraj University,MKU,9.934,78.1214,https://upload.wikimedia.org/wikipedia/en/8/85/Madurai_Kamaraj_University_logo.jpg,63,public,India,Tamil Nadu,130000,1966,9.14522E+11,registrar@mkuniversity.org,mkuniversity.ac.in,"IT, Biotechnology, Economics, Political Science","Madurai Kamaraj University was founded in 1966 and they are popular for IT, biotechnology, economics and political science.",NA,NA,"Fine Art, Performing Art",NA,Education,NA,NA,"Tamil, English, Hindi, History, Economics, Geography, Philosophy",NA,"Mathematics, Physics, Chemistry, Botany, Zoology","Sociology, Psychology, Anthropology",NA,NA
Maharishi Markandeshwar,MMDU,30.2661,77.0389,https://upload.wikimedia.org/wikipedia/en/c/c9/Maharishi_Markandeshwar_University%2C_Sadopur_logo.png,71,private,India,Haryana,10000,1993,9.11672E+11,info@mmumullana.org,mmumullana.org,"Medicine, Health Tech, IT, Biotechnology","Maharishi Markandeshwar was founded in 1993 and they are popular for medicine, health tech, it and biotechnology.",NA,NA,"Fine Art, Performing Art","Business Administration, Company Secretaryship",NA,"Computer Science Engineering, Electrical Engineering, Mechanical Engineering, Civil Engineering, Electronics and Communication Engineering, Information Technology","Pharmacy, Physiotherapy, Ayurvedic Medicine, Unani Medicine, Homeopathic Medicine, Nursing","History, Political Science, Sociology, English, Hindi, Sanskrit","Computer Science, Information Technology, Software Engineering","Physics, Chemistry, Mathematics, Botany, Zoology, Biotechnology","Psychology, Sociology, Political Science",NA,NA
Mahatma Gandhi University,MGU,9.635,76.526,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/Mahatma_Gandhi_University%2C_Kerala_Logo.svg/375px-Mahatma_Gandhi_University%2C_Kerala_Logo.svg.png,37,public,India,Kerala,128000,1983,9.14813E+11,info@mgu.ac.in,mgu.ac.in,"Social Sciences, Law, Medicine, IT","Mahatma Gandhi University was founded in 1983 and they are popular for social sciences, law, medicine and it.",NA,NA,Architecture,"Business Administration, Commerce, Law",Physical Education,"Civil Engineering, Computer Science and Engineering, Electrical Engineering, Electronics and Communication Engineering, Mechanical Engineering","Nursing, Physiotherapy, Medical Laboratory Technology, Medical Radiological Technology, Medical Microbiology, Pharmacy","English, Hindi, Malayalam, Sanskrit, Tamil, Urdu, Journalism and Mass Communication, Psychology, Social Work, Economics, History, Political Science",Computer Applications,"Biochemistry, Biotechnology, Chemistry, Environmental Science, Food Science and Technology, Geography, Geology, Life Science, Mathematics, Physics, Statistics",Sociology,Library and Information Science,NA
Manav Rachna International Institute of Research and Studies,MRIIRS,28.4265,77.3091,https://upload.wikimedia.org/wikipedia/en/6/69/Manav_Rachna_International_University_%28logo%29.png,92,private,India,Haryana,5000,2008,9.11294E+11,admissions@mriu.edu.in,manavrachna.edu.in,"IT, Robotics, Health Tech, Business Analytics","Manav Rachna International Institute of Research and Studies was founded in 2008 and they are popular for IT, robotics, health tech and business analytics.",NA,NA,NA,Business Administration,NA,"Aeronautical Engineering, Automobile Engineering, Biotechnology, Chemical Engineering, Civil Engineering, Computer Science and Engineering, Electrical and Electronics Engineering, Electronics and Communication Engineering, Information Technology, Mechanical Engineering",NA,"English, History, Journalism and Mass Communication, Psychology",NA,NA,NA,NA,NA
Manipal Academy of Higher Education,MAHE,13.347,74.7934,https://images.seeklogo.com/logo-png/50/1/manipal-academy-of-higher-education-logo-png_seeklogo-507697.png,4,private,India,Karnataka,27000,1953,9.18203E+11,registrar@manipal.edu,manipal.edu,"Medicine, Health Tech, Engineering, Biotechnology","Manipal Academy of Higher Education was founded in 1953 and they are popular for medicine, health tech, engineering and biotechnology.",NA,NA,"Animation and VFX, Communication Design, Fashion Design, Game Design, Interior Design, Product Design, Fine Art ",Business Administration,NA,"Aerospace Engineering, Artificial Intelligence and Data Science, Biotechnology, Chemical Engineering, Civil Engineering, Computer Science and Engineering, Data Science, Electrical and Electronics Engineering, Electronics and Communication Engineering, Information Science and Engineering, Instrumentation Technology, Mechanical Engineering, Mechatronics Engineering, Telecommunication Engineering",Nursing,Psychology,NA,NA,NA,NA,NA
"Manipal University, Jaipur",MUJ,26.843,75.5648,https://upload.wikimedia.org/wikipedia/en/1/1f/Manipal_University_Jaipur_logo.png,64,private,India,Rajasthan,10000,2011,9.11414E+11,admissions@Jaipur.manipal.edu,manipaldubai.com,"IT, Cybersecurity, Health Tech, Business Analytics","Manipal University, Jaipur was founded in 2011 and they are popular for IT, cybersecurity, health tech and business analytics.",NA,NA,"Fashion Design, Interior Design, Graphic Design, Fine Art","Digital Marketing, Finance, Human Resource Management, International Business, Marketing, Operations Management",NA,"Aerospace Engineering, Automobile Engineering, Biotechnology, Chemical Engineering, Civil Engineering, Computer Science and Engineering, Electrical and Electronics Engineering, Electronics and Communication Engineering, Information Technology, Instrumentation and Control Engineering, Mechanical Engineering, Mechatronics Engineering",NA,"English, History",NA,"Computer Science, Physics, Chemistry, Mathematics, Biotechnology",NA,NA,NA
"Manonmaniam Sundaranar University, Tirunelveli",MSU,8.7131,77.7567,https://upload.wikimedia.org/wikipedia/en/0/0e/Manonmaniam_Sundaranar_University_logo.jpeg,93,public,India,Tamil Nadu,3000,1990,9.14622E+11,registrar@mssw.in,msuniv.ac.in,"IT, Economics, Political Science, Law","Manonmaniam Sundaranar University, Tirunelveli was founded in 1990 and they are popular for IT, economics, political science and law.",NA,"Agriculture, Agricultural Biotechnology, Horticulture, Sericulture, Veterinary Science","Fine Art, Performing Art","Commerce, Management Studies, Business Administration, Law",Education,"Civil Engineering, Mechanical Engineering, Electrical and Electronics Engineering, Computer Science and Engineering, Information Technology, Electronics and Communication Engineering","Nursing, Physiotherapy","Tamil, English, Hindi, History, Economics, Political Science, Geography, Philosophy","Computer Science, Information Technology, Software Engineering","Physics, Chemistry, Mathematics, Botany, Zoology","Sociology, Psychology, Social Work",NA,NA
Mizoram University,MZU,23.7353,92.6621,https://upload.wikimedia.org/wikipedia/en/e/e5/Mizoram_University_logo.png,77,public,India,Mizoram,4000,2001,9.13892E+11,registrar@mzu.edu.in,mzu.edu.in,"Social Sciences, Law, Political Science, IT","Mizoram University was founded in 2001 and they are popular for social sciences, law, political science and it.",NA,Agricultural Science,Fine Art,"Commerce, Law",Education,NA,NA,"Mizo, English",NA,"Mathematics, Physics, Chemistry, Zoology, Botany","Sociology, Political Science, History, Economics, Geography, Psychology",NA,NA
Mumbai University,MU,19.0729,72.8583,https://upload.wikimedia.org/wikipedia/en/7/7a/University_of_Mumbai_coat_of_arms.svg,61,public,India,Maharashtra,549000,1857,9.12227E+11,registrar@mu.ac.in,mu.ac.in,"Economics, Political Science, IT, Law","MuMBAi University was founded in 1857 and they are popular for economics, political science, it and law.",NA,NA,"Fine Art, Performing Art, Design","Management Studies, Commerce, Law, Economics, Accounting, Finance","Education, Teacher Training","Mechanical Engineering, Electrical Engineering, Civil Engineering, Chemical Engineering, Computer Engineering, Information Technology, Electronics and Telecommunication Engineering, Instrumentation Engineering","Medicine, Nursing, Pharmacy, Physiotherapy, Homeopathy, Ayurveda, Unani, Dental Science","History, Geography, Political Science, Philosophy, Sociology, Psychology, English, Hindi, Marathi, Sanskrit, Urdu, Other Languages","Computer Science, Information Technology, Data Science","Physics, Chemistry, Mathematics, Botany, Zoology, Biotechnology, Microbiology","Sociology, Psychology, Social Work, Anthropology, Public Administration",NA,NA
Mysore University,UoM,12.3081,76.6488,https://upload.wikimedia.org/wikipedia/en/2/2c/Coat_of_arms_of_the_University_of_Mysore.svg,54,public,India,Karnataka,53000,1916,9.18212E+11,registrar@uni-mysore.ac.in,uni-mysore.ac.in,"Economics, Political Science, IT, Law","Mysore University was founded in 1916 and they are popular for economics, political science, it and law.",NA,NA,"Fine Art, Performing Art, Visual Communication","Commerce, Management Studies, Business Administration, Law","Education, Physical Education",NA,NA,"Kannada, English, Hindi, Sanskrit, History, Philosophy, Sociology, Economics",NA,"Mathematics, Physics, Chemistry, Botany, Zoology","Psychology, Political Science, Public Administration",NA,NA
Netaji Subhas University of Technology,NSUT,28.7488,77.1171,https://upload.wikimedia.org/wikipedia/en/e/e9/Netaji_Subhas_University_of_Technology.svg,100,public,India,Delhi,7000,1983,9.11125E+11,registrar@nsut.ac.in,nsut.ac.in,"IT, Robotics, Cybersecurity, Business Analytics","Netaji Subhas University of Technology was founded in 1983 and they are popular for IT, robotics, cybersecurity and business analytics.",NA,NA,NA,NA,NA,"Computer Science and Engineering, Electronics and Communication Engineering, Electrical Engineering, Mechanical Engineering, Civil Engineering, Information Technology, Instrumentation and Control Engineering, Production and Industrial Engineering, Biotechnology, Chemical Engineering, Mechatronics Engineering",NA,NA,NA,NA,NA,NA,NA
NITTE,-,13.0556,74.7933,https://upload.wikimedia.org/wikipedia/en/1/1e/NITTE_Deemed_Univerity_logo.svg,66,private,India,Karnataka,25000,2008,9.18242E+11,admissions@nitte.edu.in,nitte.edu.in,"Medicine, Health Tech, IT, Biotechnology","NITTE was founded in 2008 and they are popular for medicine, health tech, it and biotechnology.",NA,NA,NA,Law,NA,"Computer Science and Engineering, Information Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, Civil Engineering, Electrical and Electronics Engineering, Telecommunication Engineering, Instrumentation Technology, Chemical Engineering, Aeronautical Engineering, Artificial Intelligence and Machine Learning, Data Science","Nursing, Physiotherapy, Medical Laboratory Technology",NA,NA,NA,NA,NA,NA
Osmania University,OU,17.4132,78.528,https://upload.wikimedia.org/wikipedia/en/2/29/Osmania_University_Logo.png,43,public,India,Telangana,320000,1917,9.14028E+11,vc@osmania.ac.in,osmania.ac.in,"IT, Economics, Political Science, Law","Osmania University was founded in 1917 and they are popular for IT, economics, political science and law.",NA,"Agriculture, Veterinary Science","Fine Art, Performing Art, Design","Commerce, Management Studies, Business Administration, Law","Education, Teacher Training","Civil, Mechanical, Electrical","Medicine, Pharmacy, Nursing, Public Health","English, Hindi, Urdu, Telugu, History, Philosophy, Journalism, Mass Communication","Computer Science, Information Technology, Software Engineering","Physics, Chemistry, Mathematics, Botany, Zoology, Biotechnology","Sociology, Psychology, Economics, Political Science, Anthropology, Social Work",NA,NA
Panjab University,PU,30.758,76.768,https://upload.wikimedia.org/wikipedia/en/9/96/Panjab_University_logo.png,38,public,India,Chandigarh,18000,1947,9.11723E+11,registrar@pu.ac.in,pu.ac.in,"Economics, Political Science, IT, Medicine","Panjab University was founded in 1947 and they are popular for economics, political science, it and medicine.",NA,"Agricultural Economics, Agricultural Biotechnology, Horticulture, Soil Science, Plant Breeding and Genetics, Entomology, Plant Pathology, Agricultural Extension, Veterinary Science","Fine Art, Music, Theatre, Visual Art, Design","Business Administration, Commerce, Economics, Management Studies, Law","Education, Physical Education, Special Education","Chemical Engineering, Civil Engineering, Computer Science Engineering, Electrical Engineering, Electronics and Communication Engineering, Mechanical Engineering, Information Technology, Software Engineering","Medicine, Nursing, Pharmacy, Physiotherapy, Public Health","English, Hindi, Punjabi, Urdu, History, Philosophy, Sociology, Anthropology, Archaeology","Computer Science, Information Technology, Software Engineering, Data Science","Physics, Chemistry, Mathematics, Botany, Zoology, Biotechnology, Microbiology","Psychology, Sociology, Anthropology, Political Science, Public Administration",NA,NA
Periyar University,PU,11.785,78.0696,https://upload.wikimedia.org/wikipedia/en/8/8a/Periyar_University_logo.png,56,public,India,Tamil Nadu,140000,1997,9.14242E+11,registrar@periyaruniversity.ac.in,periyaruniversity.ac.in,"IT, Biotechnology, Economics, Political Science","Periyar University was founded in 1997 and they are popular for IT, biotechnology, economics and political science.",NA,"Agricultural Science, Veterinary Science","Fine Art, Performing Art","Commerce, Management, Law","Education, Teacher Education","Civil Engineering, Mechanical Engineering, Electrical Engineering, Electronics Engineering, Computer Science Engineering, Information Technology","Nursing, Public Health","Tamil, English, Hindi, History, Philosophy, Ancient History and Archaeology","Computer Science, Information Technology, Software Engineering","Physics, Chemistry, Botany, Zoology, Mathematics","Sociology, Psychology, Economics, Political Science, Anthropology",NA,NA
Punjab Agricultural University,PAU,30.901,75.8153,https://upload.wikimedia.org/wikipedia/en/d/dc/Punjab_Agricultural_University_logo.png,57,public,India,Punjab,6000,1962,9.11612E+11,registrar@pau.edu,pau.edu,"Agriculture, Biotechnology, IT, Food Science","Punjab Agricultural University was founded in 1962 and they are popular for agriculture, biotechnology, it and food science.",NA,"Agricultural Biotechnology, Agricultural Economics, Agricultural Engineering, Agricultural Extension, Agronomy, Animal Biotechnology, Animal Breeding and Genetics, Animal Nutrition, Animal Science, Dairy Science, Entomology, Fisheries Science, Food Science and Technology, Horticulture, Plant Breeding and Genetics, Plant Pathology, Soil Science, Veterinary Science",NA,Agricultural Business Management,NA,Agricultural Engineering,Veterinary Science,NA,NA,"Biotechnology, Biochemistry, Botany, Chemistry, Microbiology, Zoology","Agricultural Economics, Agricultural Extension, Sociology",NA,NA
S.R.M. Institute of Science and Technology,SRMIST,12.8232,80.0435,https://upload.wikimedia.org/wikipedia/en/7/7a/SRM_Institute_of_Science_and_Technology_Logo.svg,12,private,India,Tamil Nadu,57000,1985,9.14427E+11,admissions.india@srmuniv.ac.in,srmist.edu.in,"IT, Medicine, Engineering, Space Tech","S.R.M. Institute of Science and Technology was founded in 1985 and they are popular for IT, medicine, engineering and space tech.",NA,NA,"Architecture, Fine Art","Law, Communications, Economics",NA,"Aerospace Engineering, Automobile Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Science and Engineering, Electrical and Electronics Engineering, Electronics and Communication Engineering, Information Technology, Instrumentation and Control Engineering, Mechanical Engineering, Mechatronics Engineering, Production Engineering, Robotics Engineering, Software Engineering, Telecommunication Engineering",NA,"English Literature, History, Journalism and Mass Communication, Languages","Computer Science and Engineering, Information Technology, Software Engineering","Biotechnology, Chemistry, Mathematics, Physics","Psychology, Sociology",NA,NA
Sant Longowal Institute of Engineering and Technology,SLIET,30.1993,75.8764,https://ztd-euwest2-prod-s3.s3.eu-west-2.amazonaws.com/Sant_Longowal_Institute_of_Engineering_and_Technology_Logo_f0e65cf014.png,85,public,India,Punjab,4000,1989,9.11672E+11,registrar@sliet.ac.in,sliet.ac.in,"IT, Engineering, Cybersecurity, Business Analytics","Sant Longowal Institute of Engineering and Technology was founded in 1989 and they are popular for IT, engineering, cybersecurity and business analytics.",NA,NA,NA,NA,NA,"Computer Science and Engineering, Electronics and Communication Engineering, Electrical Engineering, Mechanical Engineering, Civil Engineering, Information Technology, Mechatronics Engineering, Instrumentation and Control Engineering, Biotechnology, Chemical Engineering, Aerospace Engineering",NA,NA,NA,NA,NA,NA,NA
Sathyabama Institute of Science and Technology,SIST,12.91,80.222,https://upload.wikimedia.org/wikipedia/en/1/13/Sathyabama_Institute_of_Science_and_Technology_logo.png,51,private,India,Tamil Nadu,16000,1987,9.14425E+11,info@sathyabama.ac.in,sathyabama.ac.in,"IT, Space Tech, Medicine, Law","Sathyabama Institute of Science and Technology was founded in 1987 and they are popular for IT, space tech, medicine and law.",NA,NA,"Fine Art, Visual Communication","Management Studies, Commerce, Business Administration, Business Administration",Education,"Aerospace Engineering, Automobile Engineering, Biomedical Engineering, Biotechnology, Chemical Engineering, Civil Engineering, Computer Science and Engineering, Computer and Communication Engineering, Electrical and Electronics Engineering, Electronics and Communication Engineering, Electronics and Instrumentation Engineering, Information Technology, Instrumentation and Control Engineering, Mechanical Engineering, Mechatronics Engineering, Production Engineering, Robotics and Automation Engineering, Software Engineering, Telecommunication Engineering","Nursing, Physiotherapy, Medical Laboratory Technology","English, Tamil, Humanities","Information Technology, Computer Science and Engineering, Computer and Communication Engineering, Software Engineering, Data Science, Artificial Intelligence and Machine Learning, Cybersecurity","Physics, Chemistry, Mathematics, Biotechnology, Botany, Zoology","Psychology, Sociology",NA,NA
Saveetha Institute of Medical and Technical Sciences,SIMATS,13.0359,80.1585,https://upload.wikimedia.org/wikipedia/en/2/21/Saveetha_Institute_of_Medical_And_Technical_Sciences_Logo.png,11,private,India,Tamil Nadu,15000,2005,9.14447E+11,info@saveetha.com,saveetha.com,"Dentistry, Medicine, Health Tech, Biotechnology","Saveetha Institute of Medical and Technical Sciences was founded in 2005 and they are popular for dentistry, medicine, health tech and biotechnology.",NA,NA,NA," Business Administration, Commerce",NA,"Aeronautical Engineering, Automobile Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Science and Engineering, Electrical and Electronics Engineering, Electronics and Communication Engineering, Electronics and Instrumentation Engineering, Mechanical Engineering, Mechatronics Engineering, Biotechnology","Medical Laboratory Technology, Microbiology, Nursing, Optometry, Perfusion Technology, Physiotherapy, Respiratory Therapy",NA,NA,"Biotechnology, Microbiology, Medical Laboratory Technology",NA,NA,NA
Savitribai Phule Pune University,SPPU,18.5529,73.8265,https://upload.wikimedia.org/wikipedia/en/f/f6/Savitribai_Phule_Pune_University_Logo.png,23,public,India,Maharashtra,60000,1949,9.12026E+11,regis@unipune.ac.in,unipune.ac.in,"Economics, Political Science, Astronomy, IT","Savitribai Phule Pune University was founded in 1949 and they are popular for economics, political science, astronomy and it.",NA,NA,"Fine Art, Performing Art","Commerce, Management, Law",Education,"Mechanical Engineering, Electrical Engineering, Civil Engineering, Computer Engineering, Chemical Engineering, Electronics Engineering, Instrumentation Engineering, Information Technology, Telecommunication Engineering","Medicine, Nursing, Pharmacy, Physiotherapy, Homeopathy","History, Geography, Sociology, Political Science, Economics, Philosophy, Psychology, Marathi, Hindi, English, Sanskrit","Computer Science, Information Technology","Physics, Chemistry, Mathematics, Botany, Zoology, Biotechnology","Sociology, Psychology, Social Work, Political Science",NA,NA
